id,url,isUse,oauthService,oauthLink,loginLink
1,https://101.ru,1,Vk,oauth.vk.com/authorize?client_id=5181182&scope=email&redirect_uri=http%3A%2F%2F101.ru%2Fapi%2Fsessauth%2Foauth%2Fvk%2F&response_type=code&state=5bb8d9276e88a,https://oauth.vk.com/authorize?client_id=5181182&scope=email&redirect_uri=http%3A%2F%2F101.ru%2Fapi%2Fsessauth%2Foauth%2Fvk%2F&response_type=code&state=5bb8d9276e88a
2,https://101.ru,1,mail.ru,connect.mail.ru/oauth/authorize?client_id=739807&scope=email&redirect_uri=http%3A%2F%2F101.ru%2Fapi%2Fsessauth%2Foauth%2Fmr%2F&response_type=code&state=5bb8d9276e91a,https://connect.mail.ru/oauth/authorize?client_id=739807&scope=email&redirect_uri=http%3A%2F%2F101.ru%2Fapi%2Fsessauth%2Foauth%2Fmr%2F&response_type=code&state=5bb8d9276e91a
3,https://101.ru,1,Google,accounts.google.com/signin/oauth?client_id=310325054292-a2rvrjhdf6t313ekcufui6bact53ur5r.apps.googleusercontent.com&as=rSXfORAEG18ZIx0GiyDnuA&destination=http://101.ru&approval_state=!ChQ3U19jZzJ6N3FXTVJkUk81b2I2RhIfQTFxZHNDdlQzWjRla013TWpqbVNUV1VDU2dtaFpCWQ%E2%88%99ANKMe1QAAAAAW7oqvJ-IMo-KyQ7tVMsqyik0DwpadWof&oauthgdpr=1&xsrfsig=AHgIfE-FfU0wzKq9XN8aP9txEgFEUapncw,https://accounts.google.com/o/oauth2/auth?client_id=310325054292-a2rvrjhdf6t313ekcufui6bact53ur5r.apps.googleusercontent.com&scope=email&redirect_uri=http%3A%2F%2F101.ru%2Fapi%2Fsessauth%2Foauth%2Fgoogle%2F&response_type=code&state=5bb8d9276e8ed
4,https://channelnewsasia.com,1,Google,accounts.google.com/signin/oauth?client_id=903747334287-pktv84234gi4ihju1od4m4qjodqt84c0.apps.googleusercontent.com&as=FpU6MiC66NHmk-FG-LtMzg&destination=https://login.mediacorp.sg&approval_state=!ChRLalp1NE40RDJtY2JhOUJXV1dwdRIfVTBtU3otdk9Kc3NYSU5vbEVpbVNxcUhGSmc2aVpCWQ%E2%88%99ANKMe1QAAAAAW7ou6dTbCM2ZW8ZUV0SM-Iq90RWhRRbY&oauthgdpr=1&xsrfsig=AHgIfE__0YrdMFiZnPfNBbqAEDlVqSMABA,https://www.channelnewsasia.com/action/news/signin/google?return_url=https%3a%2f%2fwww.channelnewsasia.com%2ffilter%2fcna%2fsignin%2fgoogle%3ffailureUrl%3dhttps%253a%252f%252fwww.channelnewsasia.com%252faction%252fnews%252flogin%253funsuccessful%253dtrue%26targetUrl%3dhttps%253a%252f%252fwww.channelnewsasia.com%252fnews
5,https://minecraftforum.net,1,Twitch,id.twitch.tv/oauth2/authorize?response_type=code&client_id=ej2jcvrrou83mzux1qqwp0hv6ohb7ax&redirect_uri=https://www.minecraftforum.net/login-callback&scope=user_read&state=a167df1b-839c-4163-9404-d0751cdbdc20|/&login_type=login,https://api.twitch.tv/kraken/oauth2/authorize?response_type=code&client_id=ej2jcvrrou83mzux1qqwp0hv6ohb7ax&redirect_uri=https://www.minecraftforum.net/login-callback&scope=user_read&state=a167df1b-839c-4163-9404-d0751cdbdc20|/&login_type=login
6,https://shanbay.com,1,Wechat,open.weixin.qq.com/connect/qrconnect?scope=snsapi_login&state=P0jFeYPHjE8BXucNUwT1leCJFWVmNrco&redirect_uri=http%3A%2F%2Fwww.shanbay.com%2Fsocial%2Fcomplete%2Fwechat%2F&response_type=code&appid=wxe92337fbb21dfc9e,https://www.shanbay.com/social/login/wechat/
7,https://shanbay.com,1,Sina Weibo,api.weibo.com/oauth2/authorize?state=6Pija87dTsUXIDofqWQrbizMr44yTTWY&redirect_uri=http%3A%2F%2Fwww.shanbay.com%2Fsocial%2Fcomplete%2Fweibo%2F&response_type=code&client_id=1909081927,https://www.shanbay.com/social/login/weibo/
8,https://ivoox.com,1,Facebook,www.facebook.com/v2.9/dialog/oauth?client_id=132458616779447&scope=email&redirect_uri=https://www.ivoox.com/login_z0.html,https://www.facebook.com/v2.9/dialog/oauth?client_id=132458616779447&scope=email&redirect_uri=https://www.ivoox.com/login_z0.html
9,https://surveygizmo.com,1,Google,accounts.google.com/signin/oauth?client_id=3373922748-lthouo2ulf87occfnvd3bql94e987jk8.apps.googleusercontent.com&as=d2xbSFvxvZmRRDnJ7lU6mw&destination=https://app.surveygizmo.com&approval_state=!ChRFV2h0ZnR1OE1kRmQ5eFV0eW03UxIfUTF1NEdGR21rWFlia013TWpqbVNUV1dDaENPalpCWQ%E2%88%99ANKMe1QAAAAAW7ozWRaibm2HelAn9VwfFfmyjz7gUBMj&oauthgdpr=1&xsrfsig=AHgIfE_z90qeADfQom8sPtRY3STmiYjD2w,https://app.surveygizmo.com/login/auth-login?provider=Google
10,https://bootsnipp.com,1,GitHub,github.com/login/oauth/authorize?client_id=6526d9b3fb0ca010ceb5&redirect_uri=&state=8693755a18a5a7350a496f661288aafe&scope=user%3Aemail&response_type=code&approval_prompt=auto,https://bootsnipp.com/login/github
